,image,abs_aspect_ratio,shape,aspect_adjust,adjust_aspect_ratio,adjust_shape,handle
125,trinary0002-2179-3036SDS_Wash_U_G08w2_combo.tif,2.0,"[271, 542]",False,2.0,"[271, 542]",handle
126,trinary0002-2193-0596SDS_Wash_U_B07w2_combo.tif,1.1783783783783783,"[436, 370]",False,1.1783783783783783,"[436, 370]",handle
127,trinary0002-2301-3471SDS_Wash_U_B08w2_combo.tif,9.984126984126984,"[63, 629]",True,1.0,"[489, 489]",handle
128,trinary0002-2464-1495SDS_Wash_U_G08w2_combo.tif,14.785714285714286,"[42, 621]",True,1.0,"[469, 469]",handle
129,trinary0002-2594-1915SDS_Wash_U_B07w2_combo.tif,2.1700404858299596,"[536, 247]",False,2.1700404858299596,"[536, 247]",handle
130,trinary0002-2640-1390SDS_Wash_U_E05w2_combo.tif,4.788135593220339,"[118, 565]",False,4.788135593220339,"[118, 565]",handle
131,trinary0002-2665-3730SDS_Wash_I_E10.tif,3.9056603773584904,"[621, 159]",False,3.9056603773584904,"[621, 159]",handle
132,trinary0002-2720-3571SDS_Wash_U_G05w2_combo.tif,2.84,"[568, 200]",False,2.84,"[568, 200]",handle
133,trinary0002-2740-1096SDS_Wash_U_G05w2_combo.tif,15.473684210526315,"[588, 38]",True,1.0,"[443, 443]",handle
134,trinary0002-2786-3142SDS_Wash_U_E05w2_combo.tif,1.3275862068965518,"[348, 462]",False,1.3275862068965518,"[348, 462]",handle
135,trinary0002-2845-2707SDS_Wash_U_E05w2_combo.tif,2.252173913043478,"[518, 230]",False,2.252173913043478,"[518, 230]",handle
136,trinary0002-2883-1791SDS_Wash_I_E10.tif,9.416666666666666,"[60, 565]",True,1.0,"[442, 442]",handle
137,trinary0002-2996-3528SDS_Wash_I_E10.tif,1.5016077170418007,"[467, 311]",False,1.5016077170418007,"[467, 311]",handle
138,trinary0002-3047-0733SDS_Wash_U_B05w2_combo.tif,1.0977443609022557,"[399, 438]",False,1.0977443609022557,"[399, 438]",handle
139,trinary0002-3071-3411SDS_Wash_I_E10.tif,1.5340909090909092,"[405, 264]",False,1.5340909090909092,"[405, 264]",handle
140,trinary0002-3120-2839SDS_Wash_I_E10.tif,1.497991967871486,"[249, 373]",False,1.497991967871486,"[249, 373]",handle
141,trinary0002-3135-1639SDS_Wash_U_B05w2_combo.tif,3.206703910614525,"[179, 574]",False,3.206703910614525,"[179, 574]",handle
142,trinary0002-3166-2891SDS_Wash_U_E08w2_combo.tif,8.134328358208956,"[67, 545]",True,1.0,"[433, 433]",handle
143,trinary0002-3534-2581SDS_Wash_U_G08w2_combo.tif,3.0384615384615383,"[632, 208]",False,3.0384615384615383,"[632, 208]",handle
144,trinary0002-3590-2973SDS_Wash_U_B08w2_combo.tif,1.3290155440414508,"[513, 386]",False,1.3290155440414508,"[513, 386]",handle
145,trinary0002-3722-2003SDS_Wash_U_G08w2_combo.tif,1.7476923076923077,"[568, 325]",False,1.7476923076923077,"[568, 325]",handle
146,trinary0002-3782-1925SDS_Wash_U_B08w2_combo.tif,5.578947368421052,"[114, 636]",True,1.0,"[530, 530]",handle
147,trinary0002-3816-2508SDS_Wash_U_E08w2_combo.tif,6.206185567010309,"[97, 602]",True,1.0,"[494, 494]",handle
